METADATA
initial_wait_s: 15
measures: 1
period_ms: 1000
depth: 0.5
name: kdupro01
buoy: 1
country: colombia
place: akuara
maker: udea
curator: icm-csic
email: rodero@icm.csic.es
sensors: tcs34725
description: calibration
units: counts,
latitude: 41.383189
longitude: 2.197949
altitude: 0
ref_coord_system: wgs84
location_source: gnss
time_source: internet
processing_level: 0
processing_procedure: https://git.csic.es/kduino/kdupro
processing_version: build
processing_revision: 0
calibration_procedure: https://git.csic.es/kduino/kdupro
calibration_reference: 0
calibration_time: 0
calibration_version: 0
sensor_id: 
platform_id: 
deployment_id: 
sample_id: 
observer_id: 
owner_contact: jpiera@icm.csic.es
operator_contact: rodero@icm.csic.es
license: mit
license_reference: https://opensource.org/licenses/mit
embargo_date: 
datetime: yyyy-mm-ddthh:mm:ssz
time: 2025-04-16T10:47:11:085Z
DATA
TIME F1-415nm F2-445nm F3-480nm F4-515nm F5-555nm F6-590nm F7-630nm F8-680nm Clear Near-IR
2025-04-16T10:52:10:130Z 35467 42788 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:11:130Z 35454 42725 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:12:130Z 35581 42785 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:13:130Z 35814 42974 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:14:130Z 35584 42702 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:15:130Z 35886 42953 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:16:130Z 35836 42885 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:17:130Z 35918 42911 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:18:130Z 35690 42673 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:19:130Z 35692 42614 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:20:130Z 35751 42642 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:21:130Z 35770 42635 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:22:130Z 35733 42562 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:23:130Z 36008 42768 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:24:130Z 35778 42558 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:25:130Z 35746 42508 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:26:130Z 35813 42531 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:27:130Z 35958 42659 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:28:130Z 35856 42544 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:29:130Z 35991 42658 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:30:130Z 35765 42449 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:31:130Z 35756 42429 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:32:130Z 35758 42410 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:33:130Z 35742 42384 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:34:130Z 35753 42381 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:35:130Z 35754 42364 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:36:130Z 35679 42288 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:37:130Z 35693 42280 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:38:130Z 35642 42218 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:39:130Z 35670 42258 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:40:130Z 35641 42210 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:41:130Z 35609 42194 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:42:130Z 35573 42149 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:43:130Z 35844 42400 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:44:130Z 35623 42206 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:45:130Z 35558 42157 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:46:130Z 35553 42179 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:47:130Z 35764 42381 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:48:130Z 35789 42406 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:49:130Z 35569 42232 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:50:130Z 35784 42456 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:51:130Z 35793 42476 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:52:130Z 35781 42476 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:53:130Z 35781 42500 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:54:130Z 35769 42530 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:55:130Z 35621 42375 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:56:130Z 35526 42325 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:57:130Z 35558 42360 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:58:130Z 35525 42355 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:59:130Z 35756 42596 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:00:130Z 35571 42432 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:01:130Z 35519 42402 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:02:130Z 35641 42526 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:03:130Z 35558 42461 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:04:130Z 35572 42517 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:05:130Z 35535 42481 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:06:130Z 35449 42436 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:07:130Z 35686 42667 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:08:130Z 35638 42634 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:09:130Z 35714 42711 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:10:130Z 35414 42440 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:11:130Z 35470 42539 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:12:130Z 35427 42496 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:13:130Z 35715 42764 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:14:130Z 35469 42552 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:15:130Z 35451 42554 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:16:130Z 35533 42620 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:17:130Z 35516 42617 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:18:130Z 35546 42644 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:19:130Z 35527 42633 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:20:130Z 35583 42695 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:21:130Z 35735 42854 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:22:130Z 35553 42678 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:23:130Z 35623 42742 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:24:130Z 35601 42719 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:25:130Z 35607 42736 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:26:130Z 35637 42759 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:27:130Z 35608 42738 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:28:130Z 35617 42765 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:29:130Z 35561 42717 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:30:130Z 35624 42784 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:31:130Z 35786 42955 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:32:130Z 35539 42731 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:33:130Z 35576 42777 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:34:130Z 35532 42757 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:35:130Z 35811 43016 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:36:130Z 35622 42869 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:37:130Z 35579 42837 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:38:130Z 35767 43048 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:39:131Z 35699 42983 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:40:131Z 35724 43036 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:41:131Z 35731 43059 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:42:131Z 35747 43067 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:43:131Z 36122 43409 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:44:131Z 35770 43111 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:45:131Z 35881 43213 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:46:131Z 35852 43181 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:47:131Z 36104 43388 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:48:131Z 35872 43188 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:49:131Z 35936 43249 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:50:131Z 35945 43222 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:51:131Z 35906 43186 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:52:131Z 36146 43378 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:53:131Z 35918 43169 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:54:131Z 35956 43165 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:55:131Z 35902 43099 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:56:131Z 35878 43071 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:57:131Z 35964 43118 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:58:131Z 35873 43013 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:53:59:131Z 36147 43269 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:00:131Z 35881 42994 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:01:131Z 35924 43018 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:02:131Z 35891 42961 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:03:131Z 35872 42927 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:04:131Z 35916 42950 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:05:131Z 35905 42913 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:06:131Z 36139 43126 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:07:131Z 36182 43166 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:08:131Z 35953 42915 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:09:131Z 35940 42877 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:10:131Z 35928 42862 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:11:131Z 35961 42873 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:12:131Z 36184 43093 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:13:131Z 35967 42858 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:14:131Z 36195 43092 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:15:131Z 36018 42891 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:16:131Z 36029 42891 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:17:131Z 36221 43108 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:18:131Z 36054 42907 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:19:131Z 36096 42943 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:20:131Z 36090 42930 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:21:131Z 36224 43096 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:22:131Z 36263 43152 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:23:131Z 36084 42924 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:24:131Z 36119 42950 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:25:131Z 36111 42952 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:26:131Z 36286 43167 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:27:131Z 36232 43112 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:28:131Z 36315 43206 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:29:131Z 36257 43144 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:30:131Z 36289 43165 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:31:131Z 36148 42989 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:32:131Z 36493 43349 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:33:131Z 36284 43146 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:34:131Z 36337 43187 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:35:131Z 36469 43345 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:36:131Z 36373 43211 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:37:131Z 36208 43056 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:38:131Z 36200 43038 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:39:131Z 36141 42982 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:40:131Z 36139 42976 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:41:131Z 36143 42972 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:42:131Z 36291 43185 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:43:131Z 36258 43132 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:44:131Z 36250 43138 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:45:131Z 36134 42962 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:46:131Z 36031 42876 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:47:131Z 36057 42881 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:48:131Z 36001 42845 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:49:131Z 36183 43007 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:50:131Z 35906 42721 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:51:131Z 36002 42820 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:52:131Z 35892 42728 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:53:131Z 36216 43063 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:54:131Z 36138 42959 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:55:131Z 35932 42764 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:56:131Z 36018 42844 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:57:131Z 35855 42719 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:58:131Z 35797 42656 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:54:59:131Z 35777 42636 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:00:131Z 35732 42594 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:01:131Z 36000 42839 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:02:131Z 35733 42592 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:03:131Z 35829 42704 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:04:131Z 35963 42804 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:05:131Z 35777 42647 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:06:131Z 35781 42641 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:07:131Z 36041 42887 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:08:131Z 35766 42633 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:09:131Z 35840 42719 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:10:131Z 36010 42876 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:11:131Z 35843 42733 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:12:131Z 35767 42645 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:13:131Z 35841 42726 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:14:131Z 36102 42963 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:15:131Z 35856 42734 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:16:131Z 35952 42839 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:17:131Z 35904 42791 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:18:131Z 36124 42975 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:19:131Z 36146 42998 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:20:131Z 35929 42824 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:21:131Z 35911 42791 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:22:131Z 35857 42748 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:23:131Z 35939 42818 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:24:131Z 36138 42989 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:25:131Z 35972 42849 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:26:131Z 35980 42863 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:27:131Z 36011 42884 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:28:131Z 36204 43107 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:29:131Z 36035 42935 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:30:131Z 36102 42979 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:31:131Z 36062 42948 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:32:131Z 36246 43188 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:33:131Z 36080 42981 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:34:131Z 36145 43043 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:35:131Z 36066 42961 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:36:131Z 36261 43204 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:37:131Z 36228 43165 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:38:131Z 36138 43050 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:39:131Z 36139 43044 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:40:131Z 36113 43018 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:41:131Z 36115 43033 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:42:131Z 36137 43066 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:43:131Z 36139 43064 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:44:131Z 36162 43099 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:45:131Z 36137 43057 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:46:131Z 36271 43241 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:47:131Z 36128 43041 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:48:131Z 36133 43059 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:49:131Z 36237 43201 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:50:131Z 36130 43062 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:51:131Z 36119 43050 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:52:131Z 36132 43072 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:53:131Z 36223 43209 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:54:131Z 36120 43074 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:55:131Z 36202 43204 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:56:131Z 36087 43064 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:57:131Z 36127 43100 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:58:131Z 36117 43090 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:55:59:131Z 36057 43069 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:00:131Z 36249 43298 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:01:131Z 36133 43167 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:02:131Z 36143 43190 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:03:131Z 36085 43132 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:04:131Z 36055 43109 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:05:131Z 36098 43156 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:06:131Z 36081 43140 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:07:131Z 36170 43251 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:08:131Z 36045 43139 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:09:131Z 36002 43100 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:10:131Z 35973 43083 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:11:131Z 36009 43126 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:12:131Z 36036 43131 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:13:131Z 35842 42959 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:14:131Z 35893 43026 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:15:131Z 35892 43033 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:16:131Z 35878 42995 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:17:131Z 35858 42994 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:18:131Z 36117 43222 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:19:131Z 35920 43060 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:20:131Z 35883 42996 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:21:131Z 35841 42970 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:22:131Z 35829 42931 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:23:131Z 35865 42980 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:24:131Z 35864 42965 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:25:131Z 35797 42910 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:26:131Z 35845 42930 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:27:131Z 35808 42899 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:28:131Z 36088 43138 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:29:131Z 35788 42888 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:30:131Z 35885 42932 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:31:131Z 36058 43089 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:32:131Z 35859 42920 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:33:131Z 35796 42829 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:34:131Z 35848 42904 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:35:131Z 35791 42818 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:36:131Z 35815 42860 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:37:131Z 35760 42778 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:38:131Z 35830 42860 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:56:39:131Z 36052 43030 50601 50601 50601 50601 50601 50601 50601 50601 65234
