METADATA
initial_wait_s: 30
measures: 1
period_ms: 1000
depth: 0.5
name: kdupro01
buoy: 0
country: usa
place: discobay
maker: udea
curator: icm-csic
email: rodero@icm.csic.es
sensors: tcs34725
description: calibration
units: counts,
latitude: 41.383189
longitude: 2.197949
altitude: 0
ref_coord_system: wgs84
location_source: gnss
time_source: internet
processing_level: 0
processing_procedure: https://git.csic.es/kduino/kdupro
processing_version: build
processing_revision: 0
calibration_procedure: https://git.csic.es/kduino/kdupro
calibration_reference: 0
calibration_time: 0
calibration_version: 0
sensor_id: 
platform_id: 
deployment_id: 
sample_id: 
observer_id: 
owner_contact: jpiera@icm.csic.es
operator_contact: rodero@icm.csic.es
license: mit
license_reference: https://opensource.org/licenses/mit
embargo_date: 
datetime: yyyy-mm-ddthh:mm:ssz
time: 2025-02-26T10:14:01:032Z
DATA
TIME L0 L1 L2 L3 L4 L5 L6 L7 L8 L9 L10 L11
2025-02-26T10:22:37:051Z 28700 40929 49759 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:22:38:051Z 18775 27934 36353 43954 50601 50601 48824 50601 50601 50601 50601 50601
2025-02-26T10:22:39:051Z 20097 29841 39102 46475 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:22:40:051Z 28918 44629 50344 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:22:41:051Z 27111 45584 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:22:42:051Z 37688 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:22:43:051Z 29140 49239 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:22:44:051Z 26863 45493 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:22:45:051Z 27456 43481 50115 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:22:46:051Z 21274 33391 43059 49754 50601 50601 25866 30013 32927 43924 50601 50601
2025-02-26T10:22:47:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:22:48:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:22:49:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:22:50:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:22:51:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:22:52:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:22:53:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:22:54:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:22:55:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:22:56:051Z 47892 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:22:57:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:22:58:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:22:59:051Z 34614 48914 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:00:051Z 36859 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:01:051Z 36137 48911 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:02:051Z 49863 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:03:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:04:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:05:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:06:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:07:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:08:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:09:050Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:10:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:11:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:12:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:13:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:14:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:15:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:16:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:17:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:18:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:19:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:20:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:21:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:22:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:23:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:24:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:25:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:26:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:27:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:28:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:29:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:30:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:31:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:32:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:33:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:34:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:35:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:36:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:37:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:38:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:39:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:40:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:41:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:42:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:43:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:44:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:45:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:46:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:47:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:48:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:49:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:50:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:51:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:52:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:53:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:54:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:55:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:56:052Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:57:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:58:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:23:59:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:00:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:01:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:02:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:03:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:04:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:05:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:06:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:07:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:08:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:09:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:10:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:11:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:12:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:13:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:14:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:15:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:16:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:17:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:18:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:19:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:20:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:21:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:22:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:23:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:24:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:25:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:26:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:27:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:28:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:29:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:30:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:31:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:32:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:33:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:34:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:35:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:36:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:37:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:38:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:39:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:40:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:41:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:42:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:43:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:44:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:45:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:46:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:47:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:48:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:49:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:50:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:51:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:52:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:53:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:54:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:55:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:56:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:57:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:58:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:24:59:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:00:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:01:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:02:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:03:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:04:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:05:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:06:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:07:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:08:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:09:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:10:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:11:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:12:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:13:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:14:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:15:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:16:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:17:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:18:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:19:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:20:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:21:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:22:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:23:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:24:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:25:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:26:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:27:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:28:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:29:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:30:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:31:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:32:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:33:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:34:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:35:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:36:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:37:051Z 37117 44508 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:38:051Z 34200 44080 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:39:051Z 37847 47535 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:40:051Z 50533 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:41:051Z 46323 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:42:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:43:051Z 47655 50363 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:44:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:45:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:46:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:47:051Z 48801 50442 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:48:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:49:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:50:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:51:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:52:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:53:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:54:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:55:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:56:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:57:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:58:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:25:59:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:00:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:01:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:02:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:03:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:04:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:05:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:06:051Z 46330 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:07:051Z 43936 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:08:051Z 47216 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:09:051Z 34703 48120 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:10:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:11:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:12:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:13:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:14:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:15:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:16:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:17:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:18:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:19:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:20:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:21:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:22:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:23:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:24:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:25:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:26:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:27:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:28:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:29:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:30:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:31:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:32:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:33:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:34:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:35:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:36:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:37:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:38:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:39:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:40:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:41:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:42:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:43:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:44:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:45:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:46:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:47:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:48:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:49:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:50:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:26:51:051Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
